Condition;Pair number;ID;Determiner;N0;Verb;Determiner;N1;Preposition;Determiner;Adjective;N2;Attachment (verb attached - VA, noun attached - NA;Unambiguous?;Verb_number
2;45;245;Der;MilliardÌ_r;begegnet;dem;Bauarbeiter;mit;dem;teuren;Cabrio;VA;0;15
2;45;245;Der;Bauarbeiter;begegnet;dem;MilliardÌ_r;mit;dem;teuren;Cabrio;NA;0;15
1;22;122;Die;Dichterin;beginnt;ihr ;Werk;mit;dem;provokanten;Titel;VA;0;16
1;81;181;Die;SÌ_ngerin;beginnt;ihre;Platte;mit;einem;klassischen;Wagner;VA;0;16
2;24;224;Die;Geigerin;begleitet;die;Pianistin;mit;dem;klassischen;Klavier;NA;0;17
2;24;224;Die;Pianistin;begleitet;die;Geigerin;mit;dem;klassischen;Klavier;VA;0;17
2;2;22;Die;BÌ_rokraft;begrÌ_ÌÙt;die;Katze;mit;dem;duftenden;Leckerli;VA;0;18
2;2;22;Die;Katze;begrÌ_ÌÙt;die;BÌ_rokraft;mit;dem;duftenden;Leckerli;NA;0;18
2;36;236;Die;Indianer;bekÌ_mpfen;die;Soldaten;mit;den;giftigen;Pfeilen;VA;0;19
2;36;236;Die;Soldaten;bekÌ_mpfen;die;Indianer;mit;den;giftigen;Pfeilen;NA;0;19
1;26;126;Die;Familie;bekommt;den;Brief;mit;der;hÌ¦flichen;Beschwerde;NA;1;20
1;94;194;Das;Unternehmen;bekommt;das;Schreiben;mit;einem;wichtigen;Hinweis;NA;0;20
1;6;16;Der;BÌ_nker;belÌ_stigt;den;Fahrer;mit;der;kubanischen;Zigarre;VA;0;21
1;88;188;Der;Student;belÌ_stigt;seinen;Freund;mit;der;lauten;Musik;VA;0;21
1;66;166;Der;Optiker;beliefert;einen;Kunden;mit;einer;gÌ_nstigen;Brille;VA;0;22
1;87;187;Der;Staat;beliefert;die;Haushalte;mit;einem;robusten;Stromnetz;VA;0;22
1;2;12;Das;Amt;belohnt;einen;Arbeiter;mit;einer;hÌ¦heren;Position;VA;0;23
1;79;179;Die;Reiterin;belohnt;ein;Pferd;mit;einem;neuen;Sattel;VA;0;23
2;49;249;Der;Landwirt;belohnt;den;Gaul;mit;dem;zahmen;Verhalten;NA;0;24
2;49;249;Der;Gaul;belohnt;den;Landwirt;mit;dem;zahmen;Verhalten;VA;0;24
1;5;15;Der;Chirurg;bemerkt;den;Kranken;mit;einem;scharfen;Skalpell;NA;0;25
1;60;160;Der;Mediziner;bemerkt;die;Frau;mit;einem;grÌ_nen;Mundschutz;NA;1;25
1;29;129;Die;Fotografen;benÌ¦tigen;eine;Kamera;mit;dem;wertigen;Objektiv;NA;1;26
1;50;150;Der;Kunde;benÌ¦tigt;einen;Computer;mit;einer;modernen;Tastatur;NA;1;26
1;23;123;Die;Diebin;beneidet;ihren;Komplizen;mit;der;einzigen;Pistole;NA;1;27
1;40;140;Der;Junge;beneidet;seinen;Bruder;mit;dem;dicken;Seil;NA;1;27
1;1;11;Der;Akrobat;beobachtet;den;Clown;mit;dem;elastischen;Hammer;NA;0;28
2;4;24;Der;GÌ_rtner;beobachtet;den;GrashÌ_pfer;mit;der;nÌ_tzlichen;Lupe;VA;0;28
2;4;24;Der;GrashÌ_pfer;beobachtet;den;GÌ_rtner;mit;der;nÌ_tzlichen;Lupe;NA;0;29
1;65;165;Die;Alte;beobachtet;den;Einbrecher;mit;ihrer;ledernen;Handtasche;NA;0;29
1;10;110;Die;BehÌ¦rde;berÌ_t;den;Patienten;mit;einem;kÌ_nstlichen;Katheter;NA;0;30
1;66;166;Der;Optiker;berÌ_t;einen;Kunden;mit;einer;gÌ_nstigen;Brille;NA;0;30
2;35;235;Das;Kleinkind;berÌ_hrt;das;Pony;mit;der;weichen;Schnauze;NA;0;31
2;35;235;Das;Pony;berÌ_hrt;das;Kleinkind;mit;der;weichen;Schnauze;VA;0;31
1;25;125;Der;Erzieher;beruhigt;das;Baby;mit;dem;rasselnden;Stofftier;VA;0;32
1;83;183;Die;Schwester;beruhigt;die;Mutter;mit;der;aufwÌ_ndigen;Behandlung;VA;0;32
1;95;195;Der;Unternehmer;besÌ_nftigt;die;Geldanleger;mit;einem;grÌ_ndlichen;Bericht;VA;0;33
1;97;197;Der;Verbrecher;besÌ_nftigt;den;Anwalt;mit;den;cleveren;Ausreden;VA;0;33
1;34;134;Die;GroÌÙmutter;beschÌ_ftigt;ihren;Enkel;mit;dem;tapsigen;Welpen;VA;0;34
1;96;196;Die;Amme;beschÌ_ftigt;die;SÌ_uglinge;mit;dem;hÌ¦lzernen;Spielzeug;VA;0;34
1;31;131;Die;GÌ_rtnerin;beschenkt;die;Dame;mit;den;weiÌÙen;Rosen;VA;0;35
1;69;169;Die;Pflegerin;beschenkt;eine;Seniorin;mit;ganz;viel;Liebe;VA;0;35
1;38;138;Der;Ingenieur;beschmiert;die;Kette;mit;dem;klebrigen;ÌĞl;VA;0;36
1;75;175;Der;Praktikant;beschmiert;das;Brot;mit;der;organischen;Butter;VA;0;36
1;32;132;Der;Gast;beschriftet;die;Serviette;mit;einer;mobilen;Handynummer;VA;0;37
1;86;186;Der;Spion;beschriftet;das;Notizbuch;mit;einer;wertvollen;Information;VA;0;37
1;39;139;Die;Investoren;besetzen;die;Betriebe;mit;einigen;fleiÌÙigen;TagelÌ¦hnern;VA;0;38
1;11;111;Der;Beirat;besetzt;die;Ìãmter;mit;den;besten;Arbeitern;VA;0;38
1;67;167;Die;Partei;besitzt;eine;Untergruppe;mit;einigen;fraglichen;Argumenten;NA;1;39
1;98;198;Der;Verein;besitzt;ein;Komitee;mit;einer;dynamischen;Rhetorik;NA;1;39
1;68;168;Die;Pfadfinder;besorgen;die;Kakteen;mit;den;dÌ_nnen;Pipetten;NA;0;40
1;56;156;Die;Lehrerin;besorgt;die;Pflanze;mit;der;grÌ_nen;GieÌÙkanne;NA;0;40
2;9;29;Die;Robbe;bespritzt;die;Animateurin;mit;dem;vollen;Eimer;NA;0;41
2;9;29;Die;Animateurin;bespritzt;die;Robbe;mit;dem;vollen;Eimer;VA;0;41
1;48;148;Der;Kran;bestÌ_ckt;eine;Ladung;mit;den;tropischen;FrÌ_chten;VA;0;42
1;57;157;Der;Lieferant;bestÌ_ckt;die;Fracht;mit;den;erlesenen;Materialien;VA;0;42
1;35;135;Der;GroÌÙvater;bestreut;die;Brezel;mit;dem;groben;Salz;VA;0;43
1;46;146;Der;Konditor;bestreut;den;Kuchen;mit;den;bunten;Streuseln;VA;0;43
1;27;127;Die;Fans;besuchen;das;Konzert;mit;dem;begabten;Musiker;NA;0;44
1;3;13;Die;Angestellte;besucht;die;Sitzung;mit;den;berÌ_hmten;Vertretern;NA;0;44
1;95;195;Der;Unternehmer;bevorzugt;die;Geldanleger;mit;einem;grÌ_ndlichen;Bericht;NA;0;45
1;97;197;Der;Verbrecher;bevorzugt;den;Anwalt;mit;den;cleveren;Ausreden;NA;0;45
1;30;130;Die;Friseurin;bewohnt;das;Haus;mit;ihren;betagten;Eltern;VA;0;46
1;58;158;Die;LÌ¦win;bewohnt;die;Oase;mit;ihren;zahlreichen;Artgenossen;VA;0;46
1;51;151;Die;Kundin;bezahlt;die;Kellnerin;mit;den;unhÌ¦flichen;Manieren;NA;0;47
1;72;172;Die;Politikerin;bezahlt;den;Taxifahrer;mit;der;dreisten;Art;NA;0;47
2;33;233;Der;Sohn;blamiert;den;Trupp;mit;dem;unmodischen;Jackett;VA;0;48
2;33;233;Der;Trupp;blamiert;den;Sohn;mit;dem;unmodischen;Jackett;NA;0;48
2;59;259;Der;Logistiker;blockiert;den;TÌ_rsteher;mit;den;mobilen;Containern;VA;0;49
2;59;259;Der;TÌ_rsteher;blockiert;den;Logistiker;mit;den;mobilen;Containern;NA;0;49
1;73;173;Der;Polizist;braucht;seinen;Kollegen;mit;dem;anonymen;Telefon;NA;1;50
1;99;199;Die;Zentrale;braucht;das;Flugzeug;mit;dem;digitalen;FunkgerÌ_t;NA;1;50
1;48;148;Der;Kran;bringt;eine;Ladung;mit;den;tropischen;FrÌ_chten;NA;0;51
2;13;213;Der;Pilot;bringt;den;Notdienst;mit;dem;blauen;Helikopter;VA;0;51
2;13;213;Der;Notdienst;bringt;den;Pilot;mit;dem;blauen;Helikopter;NA;0;52
1;57;157;Der;Lieferant;bringt;die;Fracht;mit;den;erlesenen;Materialien;NA;1;52
2;48;248;Der;Besuch;dankt;dem;Gastgeber;mit;den;schÌ¦nen;Blumen;VA;0;53
2;48;248;Der;Gastgeber;dankt;dem;Besuch;mit;den;schÌ¦nen;Blumen;NA;0;53
2;32;232;Die;Expertin;demÌ_tigt;die;Praktikantin;mit;der;jahrelangen;Erfahrung;VA;0;54
2;32;232;Die;Praktikantin;demÌ_tigt;die;Expertin;mit;der;jahrelangen;Erfahrung;NA;0;54
1;27;127;Die;Fans;diskutieren;das;Konzert;mit;dem;begabten;Musiker;VA;0;55
1;3;13;Die;Angestellte;diskutiert;die;Sitzung;mit;den;berÌ_hmten;Vertretern;VA;0;55
2;19;219;Die;Polizistin;empfÌ_ngt;die;Zeugin;mit;dem;achtsamen;SpÌ_rhund;VA;0;56
2;19;219;Die;Zeugin;empfÌ_ngt;die;Polizistin;mit;dem;achtsamen;SpÌ_rhund;NA;0;56
1;2;12;Das;Amt;empfiehlt;einen;Arbeiter;mit;einer;hÌ¦heren;Position;NA;1;57
1;79;179;Die;Reiterin;empfiehlt;ein;Pferd;mit;einem;neuen;Sattel;NA;1;57
1;6;16;Der;BÌ_nker;engagiert;den;Fahrer;mit;der;kubanischen;Zigarre;NA;0;58
1;88;188;Der;Student;engagiert;seinen;Freund;mit;der;lauten;Musik;NA;1;58
2;58;258;Die;Studentin;entzÌ_ckt;die;Lerngruppe;mit;dem;frÌ¦hlichen;GemÌ_t;VA;0;59
2;58;258;Die;Lerngruppe;entzÌ_ckt;die;Studentin;mit;dem;frÌ¦hlichen;GemÌ_t;NA;0;59
1;12;112;Der;Bote;erblickt;das;Paket;mit;dem;kleinen;Fahrrad;NA;1;60
1;74;174;Die;Post;erblickt;den;Container;mit;einem;gelben;Auto;NA;1;60
2;22;222;Die;BÌ_cker;erfreuen;die;Kinder;mit;den;frischen;Pfannkuchen;VA;0;61
2;22;222;Die;Kinder;erfreuen;die;BÌ_cker;mit;den;frischen;Pfannkuchen;NA;0;61
2;39;239;Der;Hofnarr;erheitert;den;Kaiser;mit;der;bunten;PerÌ_cke;VA;0;62
2;39;239;Der;Kaiser;erheitert;den;Hofnarr;mit;der;bunten;PerÌ_cke;NA;0;62
2;31;231;Der;KlÌ_ger;ermahnt;den;Richter;mit;dem;lauten;Hammer;NA;0;63
2;31;231;Der;Richter;ermahnt;den;KlÌ_ger;mit;dem;lauten;Hammer;VA;0;63
1;19;119;Die;Cousine;erneuert;die;Reifen;mit;dem ;feinen;Flickzeug;VA;0;64
1;36;136;Der;HÌ_ndler;erneuert;die;Heizungen;mit;dem;prÌ_zisen;Thermostat;VA;0;64
1;70;170;Die;Piraten;erobern;das;Territorium;mit;den;alten;Schiffen;VA;0;65
1;45;145;Der;Kommandeur;erobert;die;Festung;mit;seiner;mÌ_chtigsten;Armee;VA;0;65
2;60;260;Der;Kassierer;erreicht;den;KÌ_ufer;mit;dem;vollen;Wagen;NA;0;66
2;60;260;Der;KÌ_ufer;erreicht;den;Kassierer;mit;dem;vollen;Wagen;VA;0;66
2;18;218;Der;Direktor;erschreckt;den;Forscher;mit;dem;sprudelnden;Reagenzglas;NA;0;67
2;18;218;Der;Forscher;erschreckt;den;Direktor;mit;dem;sprudelnden;Reagenzglas;VA;0;67
1;24;124;Die;Entwickler;erstellen;die;Programme;mit;der;teuren;Software;VA;0;68
1;4;14;Der;Architekt;erstellt;das;Modell;mit;der;verstaubten;Technik;VA;0;68
2;14;214;Der;Klempner;erwartet;den;Mieter;mit;der;dreckigen;Rohrzange;VA;0;69
2;14;214;Der;Mieter;erwartet;den;Klempner;mit;der;dreckigen;Rohrzange;NA;0;69
2;44;244;Der;Butler;erwartet;seinen;Chef;mit;der;gesamten;Belegschaft;VA;0;70
2;44;244;Der;Chef;erwartet;seinen;Butler;mit;der;gesamten;Belegschaft;NA;0;70
1;29;129;Die;Fotografen;erweitern;eine;Kamera;mit;dem;wertigen;Objektiv;VA;0;71
1;50;150;Der;Kunde;erweitert;einen;Computer;mit;einer;modernen;Tastatur;VA;0;71
1;37;137;Der;Hersteller;erwirbt;die;Flaschen;mit;einem;glÌ_sernen;Korken;NA;1;72
1;17;117;Der;Chemiker;erwirbt ;den;Flakon;mit;dem;praktischen;Pumpspender;NA;1;72
2;54;254;Der;KÌ_chenjunge;erwischt;den;Manager;mit;der;fettigen;Bratpfanne;VA;0;73
2;54;254;Der;Manager;erwischt;den;KÌ_chenjunge;mit;der;fettigen;Bratpfanne;NA;0;73
1;41;141;Die;Kanzlerin;fÌ_hrt;ein;GesprÌ_ch;mit;den;japanischen;Diplomaten;VA;0;74
1;78;178;Die;Regierung;fÌ_hrt;einen;Dialog;mit;dem;iranischen;Minister;VA;0;74
1;42;142;Der;Kellner;fÌ_llt;die;Tasse;mit;dem;heiÌÙen;Kaffee;VA;0;75
1;49;149;Der;KÌ_chenchef;fÌ_llt;den;Topf;mit;der;gestrigen;Suppe;VA;0;75
1;25;125;Der;Erzieher;fÌ_rchtet;das;Baby;mit;dem;rasselnden;Stofftier;NA;0;76
1;83;183;Die;Schwester;fÌ_rchtet;die;Mutter;mit;der;aufwÌ_ndigen;Behandlung;NA;0;76
2;56;256;Der;Abenteurer;fasziniert;den;Ureinwohner;mit;der;modernen;AusrÌ_stung;VA;0;77
2;56;256;Der;Ureinwohner;fasziniert;den;Abenteurer;mit;der;modernen;AusrÌ_stung;NA;0;77
1;32;132;Der;Gast;findet;die;Serviette;mit;einer;mobilen;Handynummer;NA;1;78
1;86;186;Der;Spion;findet;das;Notizbuch;mit;einer;wertvollen;Information;NA;1;78
2;46;246;Die;KÌ_stenwache;findet;die;Schwimmerin;mit;dem;schnellen;Motorboot;VA;0;79
2;46;246;Die;Schwimmerin;findet;die;KÌ_stenwache;mit;dem;schnellen;Motorboot;NA;0;79
2;23;223;Der;Dirigent;folgt;dem;Musiker;mit;der;lieblichen;Geige;NA;0;80
2;23;223;Der;Musiker;folgt;dem;Dirigent;mit;der;lieblichen;Geige;VA;0;80
1;61;161;Die;Ministerin;formt;eine;Beziehung;mit;der;fremden;Regierung;VA;0;81
1;76;176;Der;PrÌ_sident;formt;das;BÌ_ndnis;mit;der;privaten;Industrie;VA;0;81
2;25;225;Die;Betreuer;geleiten;die;Senioren;mit;den;klapprigen;Rollatoren;NA;0;82
2;25;225;Die;Senioren;geleiten;die;Betreuer;mit;den;klapprigen;Rollatoren;VA;0;82
1;55;155;Der;Lehrer;gieÌÙt;die;Palme;mit;dem;braunen;KÌ_bel;VA;0;83
1;71;171;Der;Platzwart;gieÌÙt;das;Gras;mit;einem;gestreiften;Schlauch;VA;0;83
1;20;120;Der;Dekan;grÌ_ÌÙt;die;Professorin;mit;einem;eigenen;BÌ_ro;NA;0;84
1;33;133;Die;GrÌ_fin;grÌ_ÌÙt;den;Diener;mit;einem;seidigen;Anzug;NA;0;84
2;12;212;Der;Doktor;grÌ_ÌÙt;den;Patient;mit;dem;brandneuen;Stethoskop;VA;0;85
2;12;212;Der;Patient;grÌ_ÌÙt;den;Doktor;mit;dem;brandneuen;Stethoskop;NA;0;85
1;42;142;Der;Kellner;hÌ_lt;die;Tasse;mit;dem;heiÌÙen;Kaffee;NA;1;86
1;49;149;Der;KÌ_chenchef;hÌ_lt;den;Topf;mit;der;gestrigen;Suppe;NA;1;86
2;52;252;Die;Trainerin;hilft;der;Mannschaft;mit;den;cleveren;SpielzÌ_gen;VA;0;87
2;52;252;Die;Mannschaft;hilft;der;Trainerin;mit;den;cleveren;SpielzÌ_gen;NA;0;87
1;34;134;Die;GroÌÙmutter;holt;ihren;Enkel;mit;dem;tapsigen;Welpen;NA;0;88
2;26;226;Der;SanitÌ_ter;holt;den;Urlauber;mit;der;faltbaren;Trage;VA;0;88
2;26;226;Der;Urlauber;holt;den;SanitÌ_ter;mit;der;faltbaren;Trage;NA;0;89
1;96;196;Die;Amme;holt;die;SÌ_uglinge;mit;dem;hÌ¦lzernen;Spielzeug;NA;0;89
1;20;120;Der;Dekan;honoriert;die;Professorin;mit;einem;eigenen;BÌ_ro;VA;0;90
1;33;133;Die;GrÌ_fin;honoriert;den;Diener;mit;einem;seidigen;Anzug;VA;0;90
1;21;121;Der;Detektiv;ignoriert;die;Truhe;mit;dem;rostigen;Schloss;NA;1;91
1;62;162;Die;Nachbarin;ignoriert;den;Schrank;mit;dem;goldenen;SchlÌ_ssel;NA;1;91
2;20;220;Der;Pfarrer;imponiert;dem;Skeptiker;mit;einem;gefestigten;Glauben;VA;0;92
2;20;220;Der;Skeptiker;imponiert;dem;Pfarrer;mit;einem;gefestigten;Glauben;NA;0;92
2;38;238;Der;Gaffer;irritiert;den;Zauberer;mit;den;wundersamen;Tricks;NA;0;93
2;38;238;Der;Zauberer;irritiert;den;Gaffer;mit;den;wundersamen;Tricks;VA;0;93
2;5;25;Der;Cowboy;jagt;den;Hengst;mit;dem;langen;Lasso;VA;0;94
2;5;25;Der;Hengst;jagt;den;Cowboy;mit;dem;langen;Lasso;NA;0;94
1;55;155;Der;Lehrer;kauft;die;Palme;mit;dem;braunen;KÌ_bel;NA;0;95
1;71;171;Der;Platzwart;kauft;das;Gras;mit;einem;gestreiften;Schlauch;NA;1;95
1;31;131;Die;GÌ_rtnerin;kennt;die;Dame;mit;den;weiÌÙen;Rosen;NA;1;96
1;69;169;Die;Pflegerin;kennt;eine;Seniorin;mit;ganz;viel;Liebe;NA;1;96
2;11;211;Der;Kater;kitzelt;den;SchÌ_ler;mit;dem;weiÌÙen;Schnurrhaar;VA;0;97
2;11;211;Der;SchÌ_ler;kitzelt;den;Kater;mit;dem;weiÌÙen;Schnurrhaar;NA;0;97
1;9;19;Der;Beamte;koordiniert;die;AktivitÌ_ten;mit;seinen;chaotischen;Assistenten;VA;0;98
1;15;115;Der;Leiter;koordiniert;die;Projekte;mit;seinen;geschÌ_tzten;Kollegen;VA;0;98
1;18;118;Die;ChÌ¦re;kritisieren;das;Orchester;mit;der;eintÌ¦nigen;Harmonie;NA;0;99
1;93;193;Der;Trompeter;kritisiert;die;Geige;mit;dem;schiefen;Ton;NA;0;99
2;42;242;Die;Greisin;lauscht;der;ErzÌ_hlerin;mit;dem;piepsenden;HÌ¦rgerÌ_t;VA;0;100
2;42;242;Die;ErzÌ_hlerin;lauscht;der;Greisin;mit;dem;piepsenden;HÌ¦rgerÌ_t;NA;0;100
1;12;112;Der;Bote;liefert;das;Paket;mit;dem;kleinen;Fahrrad;VA;0;101
1;74;174;Die;Post;liefert;den;Container;mit;einem;gelben;Auto;VA;0;101
2;61;261;Der;KÌ_fer;lockt;den;Specht;mit;dem;glÌ_nzenden;Panzer;VA;0;102
2;61;261;Der;Specht;lockt;den;KÌ_fer;mit;dem;glÌ_nzenden;Panzer;NA;0;102
1;14;114;Der;Camper;mag;die;Suppe;mit;der;frischen;Petersilie;NA;0;103
1;44;144;Der;Koch;mag;den;Salat;mit;den;lokalen;KrÌ_utern;NA;0;103
1;28;128;Der;FÌ¦rster;markiert;das;Holz;mit;der;roten;Markierung;VA;0;104
1;53;153;Der;Kurier;markiert;die;Zeitung;mit;dem;heutigen;Datum;VA;0;104
1;16;116;Die;Chefin;meidet;den;Mitarbeiter;mit;der;faltbaren;Karte;NA;1;105
1;63;163;Die;Nichte;meidet;die;Patentante;mit;der;riesigen;Torte;NA;0;105
1;7;17;Die;Barfrau;mischt;den;Gin;mit;dem;kalten;Tonic;VA;0;106
1;64;164;Der;Ober;mischt;das;Sprudel;mit;dem;trÌ_bem;Apfelsaft;VA;0;106
2;50;250;Der;FuÌÙballer;nervt;den;Schiri;mit;der;schwarzen;Pfeife;NA;0;107
2;50;250;Der;Schiri;nervt;den;FuÌÙballer;mit;der;schwarzen;Pfeife;VA;0;107
1;5;15;Der;Chirurg;operiert;den;Kranken;mit;einem;scharfen;Skalpell;VA;0;108
1;60;160;Der;Mediziner;operiert;die;Frau;mit;einem;grÌ_nen;Mundschutz;VA;0;108
2;55;255;Der;Torero;provoziert;den;Stier;mit;dem;roten;Tuch;VA;0;109
2;55;255;Der;Stier;provoziert;den;Torero;mit;dem;vollen;Wagen;NA;0;109
1;13;113;Der;Busfahrer;repariert;die;TÌ_r;mit;einem;veralteten;Druckknopf;NA;0;110
1;91;191;Die;Technikerin;repariert;das;Fenster;mit;dem;silbernem;Knauf;NA;0;110
1;23;123;Die;Diebin;rettet;ihren;Komplizen;mit;der;einzigen;Pistole;VA;0;111
1;40;140;Der;Junge;rettet;seinen;Bruder;mit;dem;dicken;Seil;VA;0;111
1;85;185;Der;Soldat;ruft;seine;Verlobte;mit;dem;liebevollen;Brief;NA;0;112
1;89;189;Die;Tante;ruft;den;Neffen;mit;dem;lila;Lutscher;NA;0;112
1;61;161;Die;Ministerin;schÌ_tzt;eine;Beziehung;mit;der;fremden;Regierung;NA;0;113
1;76;176;Der;PrÌ_sident;schÌ_tzt;das;BÌ_ndnis;mit;der;privaten;Industrie;NA;0;113
1;92;192;Die;Trainerin;schlÌ_gt;den;Hund;mit;einem;langen;Stock;VA;0;114
1;100;1100;Die;ZÌ_chterin;schlÌ_gt;das;Tier;mit;der;kurzen;Leine;VA;0;114
1;82;182;Die;SchÌ_lerin;schreibt;die;Klausur;mit;nur;wenigen;Fehlern;VA;0;115
1;84;184;Der;SekretÌ_r;schreibt;das;Protokoll;mit;der;schÌ¦nen;Handschrift;VA;0;115
2;7;27;Der;Wanderer;schubst;den;Bock;mit;dem;gekrÌ_mmten;Horn;NA;0;116
2;7;27;Der;Bock;schubst;den;Wanderer;mit;dem;gekrÌ_mmten;Horn;VA;0;116
2;1;21;Der;Vogel;sieht;den;Mann;mit;dem;groÌÙen;Fernglas;NA;0;117
2;1;21;Der;Mann;sieht;den;Vogel;mit;dem;groÌÙen;Fernglas;VA;0;117
1;92;192;Die;Trainerin;sieht;den;Hund;mit;einem;langen;Stock;NA;1;118
1;100;1100;Die;ZÌ_chterin;sieht;das;Tier;mit;der;kurzen;Leine;NA;1;118
1;54;154;Die;Landwirte;sperren;die;Wiesen;mit;den;stacheligen;ZÌ_unen;VA;0;119
1;77;177;Der;PrÌ_fer;sperrt;die;Zone;mit;dem;rot-weiÌÙen;Absperrband;VA;0;119
2;3;23;Der;Elefant;streichelt;den;WÌ_rter;mit;dem;grauen;RÌ_ssel;VA;0;120
2;3;23;Der;WÌ_rter;streichelt;den;Elefant;mit;dem;grauen;RÌ_ssel;NA;0;120
1;39;139;Die;Investoren;suchen;die;Betriebe;mit;einigen;fleiÌÙigen;TagelÌ¦hnern;NA;0;121
1;11;111;Der;Beirat;sucht;die;Ìãmter;mit;den;besten;Arbeitern;NA;0;121
1;85;185;Der;Soldat;trÌ¦stet;seine;Verlobte;mit;dem;liebevollen;Brief;VA;0;122
1;89;189;Die;Tante;trÌ¦stet;den;Neffen;mit;dem;lila;Lutscher;VA;0;122
2;47;247;Die;Diebe;treffen;die;Ermittler;mit;dem;gestohlenen;Auto;VA;0;123
2;47;247;Die;Ermittler;treffen;die;Diebe;mit;dem;gestohlenen;Auto;NA;0;123
2;37;237;Die;Fluglotsen;treiben;die;Passagiere;mit;den;gelben;Kellen;VA;0;124
2;37;237;Die;Passagiere;treiben;die;Fluglotsen;mit;den;gelben;Kellen;NA;0;124
2;8;28;Der;Krieger;trifft;den;Hirsch;mit;dem;klobigen;Gewehr;VA;0;125
2;8;28;Der;Hirsch;trifft;den;Krieger;mit;dem;klobigen;Gewehr;NA;0;125
2;16;216;Das;MÌ_dchen;umarmt;das;Maskottchen;mit;den;pelzigen;Armen;NA;0;126
2;16;216;Das;Maskottchen;umarmt;das;MÌ_dchen;mit;den;pelzigen;Armen;VA;0;126
1;77;177;Der;PrÌ_fer;umfÌ_hrt;die;Zone;mit;dem;rot-weiÌÙen;Absperrband;NA;0;127
1;54;154;Die;Landwirte;umfahren;die;Wiesen;mit;den;stacheligen;ZÌ_unen;NA;1;127
2;41;241;Die;Gemeinde;unterstÌ_tzt;die;PrÌ_sidentin;mit;den;zahlreichen;Stimmen;NA;0;128
2;41;241;Die;PrÌ_sidentin;unterstÌ_tzt;die;Gemeinde;mit;den;zahlreichen;Stimmen;VA;0;128
