Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
1,13,113,Der,Busfahrer,repariert,die,Tür,mit,einem,veralteten,Druckknopf,NA,0
1,14,114,Der,Camper,mag,die,Suppe,mit,der,frischen,Petersilie,NA,0
1,14,114,Der,Camper,würzt,die,Suppe,mit,der,frischen,Petersilie,VA,0
1,15,115,Der,Leiter,koordiniert,die,Projekte,mit,seinen,geschätzten,Kollegen,VA,0
1,15,115,Der,Leiter,vermerkt,die,Projekte,mit,seinen,geschätzten,Kollegen,NA,0
1,16,116,Die,Chefin,meidet,den,Mitarbeiter,mit,der,faltbaren,Karte,NA,1
1,16,116,Die,Chefin,würdigt,den,Mitarbeiter,mit,der,faltbaren,Karte,VA,0
1,17,117,Der,Chemiker,erwirbt ,den,Flakon,mit,dem,praktischen,Pumpspender,NA,1
1,17,117,Der,Chemiker,verschließt,den,Flakon,mit,dem,praktischen,Pumpspender,VA,0
1,18,118,Die,Chöre,kritisieren,das,Orchester,mit,der,eintönigen,Harmonie,NA,0
1,18,118,Die,Chöre,übertönen,das,Orchester,mit,der,eintönigen,Harmonie,VA,0
1,19,119,Die,Cousine,erneuert,die,Reifen,mit,dem ,feinen,Flickzeug,VA,0
1,19,119,Die,Cousine,verschenkt,die,Reifen,mit,dem ,feinen,Flickzeug,NA,0
1,20,120,Der,Dekan,grüßt,die,Professorin,mit,einem,eigenen,Büro,NA,0
1,20,120,Der,Dekan,honoriert,die,Professorin,mit,einem,eigenen,Büro,VA,0
1,21,121,Der,Detektiv,ignoriert,die,Truhe,mit,dem,rostigen,Schloss,NA,1
1,21,121,Der,Detektiv,verriegelt,die,Truhe,mit,dem,rostigen,Schloss,VA,0
1,22,122,Die,Dichterin,beginnt,ihr ,Werk,mit,dem,provokanten,Titel,VA,0
1,22,122,Die,Dichterin,verleiht,ihr ,Werk,mit,dem,provokanten,Titel,NA,1
1,23,123,Die,Diebin,beneidet,ihren,Komplizen,mit,der,einzigen,Pistole,NA,1
1,23,123,Die,Diebin,rettet,ihren,Komplizen,mit,der,einzigen,Pistole,VA,0
1,24,124,Die,Entwickler,erstellen,die,Programme,mit,der,teuren,Software,VA,0
1,24,124,Die,Entwickler,verspotten,die,Programme,mit,der,teuren,Software,NA,0
1,25,125,Der,Erzieher,beruhigt,das,Baby,mit,dem,rasselnden,Stofftier,VA,0
1,25,125,Der,Erzieher,fürchtet,das,Baby,mit,dem,rasselnden,Stofftier,NA,0
1,26,126,Die,Familie,bekommt,den,Brief,mit,der,höflichen,Beschwerde,NA,1
1,26,126,Die,Familie,versieht,den,Brief,mit,der,höflichen,Beschwerde,VA,0
1,27,127,Die,Fans,besuchen,das,Konzert,mit,dem,begabten,Musiker,NA,0
1,27,127,Die,Fans,diskutieren,das,Konzert,mit,dem,begabten,Musiker,VA,0
1,28,128,Der,Förster,befördert,das,Holz,mit,der,roten,Markierung,NA,1
1,28,128,Der,Förster,markiert,das,Holz,mit,der,roten,Markierung,VA,0
1,29,129,Die,Fotografen,benötigen,eine,Kamera,mit,dem,wertigen,Objektiv,NA,1
1,29,129,Die,Fotografen,erweitern,eine,Kamera,mit,dem,wertigen,Objektiv,VA,0
1,30,130,Die,Friseurin,bewohnt,das,Haus,mit,ihren,betagten,Eltern,VA,0
1,30,130,Die,Friseurin,vermisst,das,Haus,mit,ihren,betagten,Eltern,NA,0
1,31,131,Die,Gärtnerin,beschenkt,die,Dame,mit,den,weißen,Rosen,VA,0
1,31,131,Die,Gärtnerin,kennt,die,Dame,mit,den,weißen,Rosen,NA,1
1,32,132,Der,Gast,beschriftet,die,Serviette,mit,einer,mobilen,Handynummer,VA,0
1,32,132,Der,Gast,findet,die,Serviette,mit,einer,mobilen,Handynummer,NA,1
1,33,133,Die,Gräfin,grüßt,den,Diener,mit,einem,seidigen,Anzug,NA,0
1,33,133,Die,Gräfin,honoriert,den,Diener,mit,einem,seidigen,Anzug,VA,0
1,34,134,Die,Großmutter,beschäftigt,ihren,Enkel,mit,dem,tapsigen,Welpen,VA,0
1,34,134,Die,Großmutter,holt,ihren,Enkel,mit,dem,tapsigen,Welpen,NA,0
1,35,135,Der,Großvater,backt,die,Brezel,mit,dem,groben,Salz,NA,0
1,35,135,Der,Großvater,bestreut,die,Brezel,mit,dem,groben,Salz,VA,0
1,36,136,Der,Händler,erneuert,die,Heizungen,mit,dem,präzisen,Thermostat,VA,0
1,36,136,Der,Händler,verschenkt,die,Heizungen,mit,dem,präzisen,Thermostat,NA,0
1,37,137,Der,Hersteller,erwirbt,die,Flaschen,mit,einem,gläsernen,Korken,NA,1
1,37,137,Der,Hersteller,verschließt,die,Flaschen,mit,einem,gläsernen,Korken,VA,0
1,38,138,Der,Ingenieur,beschmiert,die,Kette,mit,dem,klebrigen,Öl,VA,0
1,38,138,Der,Ingenieur,verpackt,die,Kette,mit,dem,klebrigen,Öl,NA,1
1,39,139,Die,Investoren,besetzen,die,Betriebe,mit,einigen,fleißigen,Tagelöhnern,VA,0
1,39,139,Die,Investoren,suchen,die,Betriebe,mit,einigen,fleißigen,Tagelöhnern,NA,0
1,40,140,Der,Junge,beneidet,seinen,Bruder,mit,dem,dicken,Seil,NA,1
1,40,140,Der,Junge,rettet,seinen,Bruder,mit,dem,dicken,Seil,VA,0
1,41,141,Die,Kanzlerin,führt,ein,Gespräch,mit,den,japanischen,Diplomaten,VA,0
1,41,141,Die,Kanzlerin,verfolgt,ein,Gespräch,mit,den,japanischen,Diplomaten,NA,0
1,42,142,Der,Kellner,füllt,die,Tasse,mit,dem,heißen,Kaffee,VA,0
1,42,142,Der,Kellner,hält,die,Tasse,mit,dem,heißen,Kaffee,NA,1
1,43,143,Der,Kiosk,vergleicht,die,Zeitschrift,mit,dem,aktuellen,Sonderheft,VA,0
1,43,143,Der,Kiosk,verkauft,die,Zeitschrift,mit,dem,aktuellen,Sonderheft,NA,0
1,44,144,Der,Koch,mag,den,Salat,mit,den,lokalen,Kräutern,NA,0
1,44,144,Der,Koch,würzt,den,Salat,mit,den,lokalen,Kräutern,VA,0
1,45,145,Der,Kommandeur,erobert,die,Festung,mit,seiner,mächtigsten,Armee,VA,0
1,45,145,Der,Kommandeur,verliert,die,Festung,mit,seiner,mächtigsten,Armee,NA,0
1,46,146,Der,Konditor,backt,den,Kuchen,mit,den,bunten,Streuseln,NA,0
1,46,146,Der,Konditor,bestreut,den,Kuchen,mit,den,bunten,Streuseln,VA,0
1,47,147,Die,Konzerne,versorgen,die,Einwohner,mit,einem,primären,Anschluss,VA,0
1,47,147,Die,Konzerne,zählen,die,Einwohner,mit,einem,primären,Anschluss,NA,1
1,48,148,Der,Kran,bestückt,eine,Ladung,mit,den,tropischen,Früchten,VA,0
1,48,148,Der,Kran,bringt,eine,Ladung,mit,den,tropischen,Früchten,NA,0
1,49,149,Der,Küchenchef,füllt,den,Topf,mit,der,gestrigen,Suppe,VA,0
1,49,149,Der,Küchenchef,hält,den,Topf,mit,der,gestrigen,Suppe,NA,1
1,50,150,Der,Kunde,benötigt,einen,Computer,mit,einer,modernen,Tastatur,NA,1
1,50,150,Der,Kunde,erweitert,einen,Computer,mit,einer,modernen,Tastatur,VA,0
2,1,21,Der,Vogel,sieht,den,Mann,mit,dem,großen,Fernglas,NA,0
2,1,21,Der,Mann,sieht,den,Vogel,mit,dem,großen,Fernglas,VA,0
2,2,22,Die,Bürokraft,begrüßt,die,Katze,mit,dem,duftenden,Leckerli,VA,0
2,2,22,Die,Katze,begrüßt,die,Bürokraft,mit,dem,duftenden,Leckerli,NA,0
2,3,23,Der,Elefant,streichelt,den,Wärter,mit,dem,grauen,Rüssel,VA,0
2,3,23,Der,Wärter,streichelt,den,Elefant,mit,dem,grauen,Rüssel,NA,0
2,4,24,Der,Gärtner,beobachtet,den,Grashüpfer,mit,der,nützlichen,Lupe,VA,0
2,4,24,Der,Grashüpfer,beobachtet,den,Gärtner,mit,der,nützlichen,Lupe,NA,0
2,5,25,Der,Cowboy,jagt,den,Hengst,mit,dem,langen,Lasso,VA,0
2,5,25,Der,Hengst,jagt,den,Cowboy,mit,dem,langen,Lasso,NA,0
2,6,26,Die,Putzfrau,vertreibt,die,Ziege,mit,dem,alten,Besen,VA,0
2,6,26,Die,Ziege,vertreibt,die,Putzfrau,mit,dem,alten,Besen,NA,0
2,7,27,Der,Wanderer,schubst,den,Bock,mit,dem,gekrümmten,Horn,NA,0
2,7,27,Der,Bock,schubst,den,Wanderer,mit,dem,gekrümmten,Horn,VA,0
2,8,28,Der,Krieger,trifft,den,Hirsch,mit,dem,klobigen,Gewehr,VA,0
2,8,28,Der,Hirsch,trifft,den,Krieger,mit,dem,klobigen,Gewehr,NA,0
2,9,29,Die,Robbe,bespritzt,die,Animateurin,mit,dem,vollen,Eimer,NA,0
2,9,29,Die,Animateurin,bespritzt,die,Robbe,mit,dem,vollen,Eimer,VA,0
2,10,210,Der,Papagei,ärgert,den,Pilger,mit,dem,spitzen,Schnabel,VA,0
2,10,210,Der,Pilger,ärgert,den,Papagei,mit,dem,spitzen,Schnabel,NA,0
2,11,211,Der,Kater,kitzelt,den,Schüler,mit,dem,weißen,Schnurrhaar,VA,0
2,11,211,Der,Schüler,kitzelt,den,Kater,mit,dem,weißen,Schnurrhaar,NA,0
2,12,212,Der,Doktor,grüßt,den,Patient,mit,dem,brandneuen,Stethoskop,VA,0
2,12,212,Der,Patient,grüßt,den,Doktor,mit,dem,brandneuen,Stethoskop,NA,0
2,13,213,Der,Pilot,bringt,den,Notdienst,mit,dem,blauen,Helikopter,VA,0
2,13,213,Der,Notdienst,bringt,den,Pilot,mit,dem,blauen,Helikopter,NA,0
2,14,214,Der,Klempner,erwartet,den,Mieter,mit,der,dreckigen,Rohrzange,VA,0
2,14,214,Der,Mieter,erwartet,den,Klempner,mit,der,dreckigen,Rohrzange,NA,0
2,15,215,Die,Tochter,überrascht,die,Zahnfee,mit,dem,wackeligen,Zahn,VA,0
2,15,215,Die,Zahnfee,überrascht,die,Tochter,mit,dem,wackeligen,Zahn,NA,0
2,16,216,Das,Mädchen,umarmt,das,Maskottchen,mit,den,pelzigen,Armen,NA,0
2,16,216,Das,Maskottchen,umarmt,das,Mädchen,mit,den,pelzigen,Armen,VA,0
2,17,217,Der,König,beeindruckt,den,Ritter,mit,der,eisernen,Lanze,NA,0
2,17,217,Der,Ritter,beeindruckt,den,König,mit,der,eisernen,Lanze,VA,0
2,18,218,Der,Direktor,erschreckt,den,Forscher,mit,dem,sprudelnden,Reagenzglas,NA,0
2,18,218,Der,Forscher,erschreckt,den,Direktor,mit,dem,sprudelnden,Reagenzglas,VA,0
2,19,219,Die,Polizistin,empfängt,die,Zeugin,mit,dem,achtsamen,Spürhund,VA,0
2,19,219,Die,Zeugin,empfängt,die,Polizistin,mit,dem,achtsamen,Spürhund,NA,0
2,20,220,Der,Pfarrer,imponiert,dem,Skeptiker,mit,einem,gefestigten,Glauben,VA,0
2,20,220,Der,Skeptiker,imponiert,dem,Pfarrer,mit,einem,gefestigten,Glauben,NA,0
2,21,221,Der,Fan,winkt,dem,Sänger,mit,der,akustischen,Gitarre,NA,0
2,21,221,Der,Sänger,winkt,dem,Fan,mit,der,akustischen,Gitarre,VA,0
2,22,222,Die,Bäcker,erfreuen,die,Kinder,mit,den,frischen,Pfannkuchen,VA,0
2,22,222,Die,Kinder,erfreuen,die,Bäcker,mit,den,frischen,Pfannkuchen,NA,0
2,23,223,Der,Dirigent,folgt,dem,Musiker,mit,der,lieblichen,Geige,NA,0
2,23,223,Der,Musiker,folgt,dem,Dirigent,mit,der,lieblichen,Geige,VA,0
2,24,224,Die,Geigerin,begleitet,die,Pianistin,mit,dem,klassischen,Klavier,NA,0
2,24,224,Die,Pianistin,begleitet,die,Geigerin,mit,dem,klassischen,Klavier,VA,0
2,25,225,Die,Betreuer,geleiten,die,Senioren,mit,den,klapprigen,Rollatoren,NA,0
2,25,225,Die,Senioren,geleiten,die,Betreuer,mit,den,klapprigen,Rollatoren,VA,0
2,26,226,Der,Sanitäter,holt,den,Urlauber,mit,der,faltbaren,Trage,VA,0
2,26,226,Der,Urlauber,holt,den,Sanitäter,mit,der,faltbaren,Trage,NA,0
2,27,227,Der,Biker,überholt,den,Reiter,mit,dem,schweren,Motorrad,VA,0
2,27,227,Der,Reiter,überholt,den,Biker,mit,dem,schweren,Motorrad,NA,0
2,28,228,Die,Mütter,bedrängen,die,Obsthändler,mit,den,sperrigen,Kinderwägen,VA,0
2,28,228,Die,Obsthändler,bedrängen,die,Mütter,mit,den,sperrigen,Kinderwägen,NA,0
2,29,229,Die,Taucherin,zwickt,die,Krabbe,mit,den,roten,Scheren,NA,0
2,29,229,Die,Krabbe,zwickt,die,Taucherin,mit,den,roten,Scheren,VA,0
2,30,230,Die,Regisseurin,animiert,die,Tänzerin,mit,dem,bunten,Kostüm,NA,0
2,30,230,Die,Tänzerin,animiert,die,Regisseurin,mit,dem,bunten,Kostüm,VA,0
Condition,Pairnumber,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment(verbattached-VA,nounattached-NA",Unambiguous?
1,51,151,Die,Kundin,bezahlt,die,Kellnerin,mit,den,unhöflichen,Manieren,NA,0
1,51,151,Die,Kundin,verärgert,die,Kellnerin,mit,den,unhöflichen,Manieren,VA,0
1,52,152,Die,Künstlerin,verziert,das,Geschirr,mit,den,blauen,Punkten,VA,0
1,52,152,Die,Künstlerin,wäscht,das,Geschirr,mit,den,blauen,Punkten,NA,1
1,53,153,Der,Kurier,befördert,die,Zeitung,mit,dem,heutigen,Datum,NA,1
1,53,153,Der,Kurier,markiert,die,Zeitung,mit,dem,heutigen,Datum,VA,0
1,54,154,Die,Landwirte,sperren,die,Wiesen,mit,den,stacheligen,Zäunen,VA,0
1,54,154,Die,Landwirte,umfahren,die,Wiesen,mit,den,stacheligen,Zäunen,NA,1
1,55,155,Der,Lehrer,gießt,die,Palme,mit,dem,braunen,Kübel,VA,0
1,55,155,Der,Lehrer,kauft,die,Palme,mit,dem,braunen,Kübel,NA,0
1,56,156,Die,Lehrerin,besorgt,die,Pflanze,mit,der,grünen,Gießkanne,NA,0
1,56,156,Die,Lehrerin,wässert,die,Pflanze,mit,der,grünen,Gießkanne,VA,0
1,57,157,Der,Lieferant,bestückt,die,Fracht,mit,den,erlesenen,Materialien,VA,0
1,57,157,Der,Lieferant,bringt,die,Fracht,mit,den,erlesenen,Materialien,NA,1
1,58,158,Die,Löwin,bewohnt,die,Oase,mit,ihren,zahlreichen,Artgenossen,VA,0
1,58,158,Die,Löwin,vermisst,die,Oase,mit,ihren,zahlreichen,Artgenossen,NA,0
1,59,159,Der,Makler,vergleicht,das,Angebot,mit,den,edlen,Immobilien,VA,0
1,59,159,Der,Makler,verkauft,das,Angebot,mit,den,edlen,Immobilien,NA,1
1,60,160,Der,Mediziner,bemerkt,die,Frau,mit,einem,grünen,Mundschutz,NA,1
1,60,160,Der,Mediziner,operiert,die,Frau,mit,einem,grünen,Mundschutz,VA,0
1,61,161,Die,Ministerin,formt,eine,Beziehung,mit,der,fremden,Regierung,VA,0
1,61,161,Die,Ministerin,schätzt,eine,Beziehung,mit,der,fremden,Regierung,NA,0
1,62,162,Die,Nachbarin,ignoriert,den,Schrank,mit,dem,goldenen,Schlüssel,NA,1
1,62,162,Die,Nachbarin,verriegelt,den,Schrank,mit,dem,goldenen,Schlüssel,VA,0
1,63,163,Die,Nichte,meidet,die,Patentante,mit,der,riesigen,Torte,NA,0
1,63,163,Die,Nichte,würdigt,die,Patentante,mit,der,riesigen,Torte,VA,0
1,64,164,Der,Ober,mischt,das,Sprudel,mit,dem,trübem,Apfelsaft,VA,0
1,64,164,Der,Ober,verteilt,das,Sprudel,mit,dem,trübem,Apfelsaft,NA,0
1,65,165,Die,Alte,beobachtet,den,Einbrecher,mit,ihrer,ledernen,Handtasche,NA,0
1,65,165,Die,Alte,verprügelt,den,Einbrecher,mit,ihrer,ledernen,Handtasche,VA,0
1,66,166,Der,Optiker,beliefert,einen,Kunden,mit,einer,günstigen,Brille,VA,0
1,66,166,Der,Optiker,berät,einen,Kunden,mit,einer,günstigen,Brille,NA,0
1,67,167,Die,Partei,besitzt,eine,Untergruppe,mit,einigen,fraglichen,Argumenten,NA,1
1,67,167,Die,Partei,überzeugt,eine,Untergruppe,mit,einigen,fraglichen,Argumenten,VA,0
1,68,168,Die,Pfadfinder,besorgen,die,Kakteen,mit,den,dünnen,Pipetten,NA,0
1,68,168,Die,Pfadfinder,wässern,die,Kakteen,mit,den,dünnen,Pipetten,VA,0
1,69,169,Die,Pflegerin,beschenkt,eine,Seniorin,mit,ganz,viel,Liebe,VA,0
1,69,169,Die,Pflegerin,kennt,eine,Seniorin,mit,ganz,viel,Liebe,NA,1
1,70,170,Die,Piraten,erobern,das,Territorium,mit,den,alten,Schiffen,VA,0
1,70,170,Die,Piraten,verlieren,das,Territorium,mit,den,alten,Schiffen,NA,0
1,71,171,Der,Platzwart,gießt,das,Gras,mit,einem,gestreiften,Schlauch,VA,0
1,71,171,Der,Platzwart,kauft,das,Gras,mit,einem,gestreiften,Schlauch,NA,1
1,72,172,Die,Politikerin,bezahlt,den,Taxifahrer,mit,der,dreisten,Art,NA,0
1,72,172,Die,Politikerin,verärgert,den,Taxifahrer,mit,der,dreisten,Art,VA,0
1,73,173,Der,Polizist,braucht,seinen,Kollegen,mit,dem,anonymen,Telefon,NA,1
1,73,173,Der,Polizist,verständigt,seinen,Kollegen,mit,dem,anonymen,Telefon,VA,0
1,74,174,Die,Post,erblickt,den,Container,mit,einem,gelben,Auto,NA,1
1,74,174,Die,Post,liefert,den,Container,mit,einem,gelben,Auto,VA,0
1,75,175,Der,Praktikant,beschmiert,das,Brot,mit,der,organischen,Butter,VA,0
1,75,175,Die,Praktikant,verpackt,das,Brot,mit,der,organischen,Butter,NA,1
1,76,176,Der,Präsident,formt,das,Bündnis,mit,der,privaten,Industrie,VA,0
1,76,176,Der,Präsident,schätzt,das,Bündnis,mit,der,privaten,Industrie,NA,0
1,77,177,Der,Prüfer,sperrt,die,Zone,mit,dem,rot-weißen,Absperrband,VA,0
1,77,177,Der,Prüfer,umfährt,die,Zone,mit,dem,rot-weißen,Absperrband,NA,0
1,78,178,Die,Regierung,führt,einen,Dialog,mit,dem,iranischen,Minister,VA,0
1,78,178,Die,Regierung,verfolgt,einen,Dialog,mit,dem,iranischen,Minister,NA,0
1,79,179,Die,Reiterin,belohnt,ein,Pferd,mit,einem,neuen,Sattel,VA,0
1,79,179,Die,Reiterin,empfiehlt,ein,Pferd,mit,einem,neuen,Sattel,NA,1
1,80,180,Der,Rennfahrer,überholt,die,Konkurrenz,mit,dem,getunten,Ferrari,VA,0
1,80,180,Der,Rennfahrer,verpfeift,die,Konkurrenz,mit,dem,getunten,Ferrari,NA,1
1,81,181,Die,Sängerin,beginnt,ihre,Platte,mit,einem,klassischen,Wagner,VA,0
1,81,181,Die,Sängerin,verleiht,ihre,Platte,mit,einem,klassischen,Wagner,NA,1
1,82,182,Die,Schülerin,schreibt,die,Klausur,mit,nur,wenigen,Fehlern,VA,0
1,82,182,Die,Schülerin,zeigt,die,Klausur,mit,nur,wenigen,Fehlern,NA,0
1,83,183,Die,Schwester,beruhigt,die,Mutter,mit,der,aufwändigen,Behandlung,VA,0
1,83,183,Die,Schwester,fürchtet,die,Mutter,mit,der,aufwändigen,Behandlung,NA,0
1,84,184,Der,Sekretär,schreibt,das,Protokoll,mit,der,schönen,Handschrift,VA,0
1,84,184,Der,Sekretär,zeigt,das,Protokoll,mit,der,schönen,Handschrift,NA,0
1,85,185,Der,Soldat,ruft,seine,Verlobte,mit,dem,liebevollen,Brief,NA,0
1,85,185,Der,Soldat,tröstet,seine,Verlobte,mit,dem,liebevollen,Brief,VA,0
1,86,186,Der,Spion,beschriftet,das,Notizbuch,mit,einer,wertvollen,Information,VA,0
1,86,186,Der,Spion,findet,das,Notizbuch,mit,einer,wertvollen,Information,NA,1
1,87,187,Der,Staat,beliefert,die,Haushalte,mit,einem,robusten,Stromnetz,VA,0
1,87,187,Der,Staat,zählt,die,Haushalte,mit,einem,robusten,Stromnetz,NA,0
1,88,188,Der,Student,belästigt,seinen,Freund,mit,der,lauten,Musik,VA,0
1,88,188,Der,Student,engagiert,seinen,Freund,mit,der,lauten,Musik,NA,1
1,89,189,Die,Tante,ruft,den,Neffen,mit,dem,lila,Lutscher,NA,0
1,89,189,Die,Tante,tröstet,den,Neffen,mit,dem,lila,Lutscher,VA,0
1,90,190,Das,Team,überholt,den,Gegner,mit,dem,letzten,Punkt,VA,0
1,90,190,Das,Team,verpfeift,den,Gegner,mit,dem,letzten,Punkt,NA,1
1,91,191,Die,Technikerin,öffnet,das,Fenster,mit,dem,silbernem,Knauf,VA,0
1,91,191,Die,Technikerin,repariert,das,Fenster,mit,dem,silbernem,Knauf,NA,0
1,92,192,Die,Trainerin,schlägt,den,Hund,mit,einem,langen,Stock,VA,0
1,92,192,Die,Trainerin,sieht,den,Hund,mit,einem,langen,Stock,NA,1
1,93,193,Der,Trompeter,kritisiert,die,Geige,mit,dem,schiefen,Ton,NA,0
1,93,193,Der,Trompeter,übertönt,die,Geige,mit,dem,schiefen,Ton,VA,0
1,94,194,Das,Unternehmen,bekommt,das,Schreiben,mit,einem,wichtigen,Hinweis,NA,0
1,94,194,Das,Unternehmen,versieht,das,Schreiben,mit,einem,wichtigen,Hinweis,VA,0
1,95,195,Der,Unternehmer,besänftigt,die,Geldanleger,mit,einem,gründlichen,Bericht,VA,0
1,95,195,Der,Unternehmer,bevorzugt,die,Geldanleger,mit,einem,gründlichen,Bericht,NA,0
1,96,196,Die,Amme,beschäftigt,die,Säuglinge,mit,dem,hölzernen,Spielzeug,VA,0
1,96,196,Die,Amme,holt,die,Säuglinge,mit,dem,hölzernen,Spielzeug,NA,0
1,97,197,Der,Verbrecher,besänftigt,den,Anwalt,mit,den,cleveren,Ausreden,VA,0
1,97,197,Der,Verbrecher,bevorzugt,den,Anwalt,mit,den,cleveren,Ausreden,NA,0
1,98,198,Der,Verein,besitzt,ein,Komitee,mit,einer,dynamischen,Rhetorik,NA,1
1,98,198,Der,Verein,überzeugt,ein,Komitee,mit,einer,dynamischen,Rhetorik,VA,0
1,99,199,Die,Zentrale,braucht,das,Flugzeug,mit,dem,digitalen,Funkgerät,NA,1
1,99,199,Die,Zentrale,verständigt,das,Flugzeug,mit,dem,digitalen,Funkgerät,VA,0
1,100,1100,Die,Züchterin,schlägt,das,Tier,mit,der,kurzen,Leine,VA,0
1,100,1100,Die,Züchterin,sieht,das,Tier,mit,der,kurzen,Leine,NA,1
2,31,231,Der,Kläger,ermahnt,den,Richter,mit,dem,lauten,Hammer,NA,0
2,31,231,Der,Richter,ermahnt,den,Kläger,mit,dem,lauten,Hammer,VA,0
2,32,232,Die,Expertin,demütigt,die,Praktikantin,mit,der,jahrelangen,Erfahrung,VA,0
2,32,232,Die,Praktikantin,demütigt,die,Expertin,mit,der,jahrelangen,Erfahrung,NA,0
2,33,233,Der,Sohn,blamiert,den,Trupp,mit,dem,unmodischen,Jackett,VA,0
2,33,233,Der,Trupp,blamiert,den,Sohn,mit,dem,unmodischen,Jackett,NA,0
2,34,234,Die,Raubkatze,verletzt,die,Antilope,mit,den,scharfen,Krallen,VA,0
2,34,234,Die,Antilope,verletzt,die,Raubkatze,mit,den,scharfen,Krallen,NA,0
2,35,235,Das,Kleinkind,berührt,das,Pony,mit,der,weichen,Schnauze,NA,0
2,35,235,Das,Pony,berührt,das,Kleinkind,mit,der,weichen,Schnauze,VA,0
2,36,236,Die,Indianer,bekämpfen,die,Soldaten,mit,den,giftigen,Pfeilen,VA,0
2,36,236,Die,Soldaten,bekämpfen,die,Indianer,mit,den,giftigen,Pfeilen,NA,0
2,37,237,Die,Fluglotsen,treiben,die,Passagiere,mit,den,gelben,Kellen,VA,0
2,37,237,Die,Passagiere,treiben,die,Fluglotsen,mit,den,gelben,Kellen,NA,0
2,38,238,Der,Gaffer,irritiert,den,Zauberer,mit,den,wundersamen,Tricks,NA,0
2,38,238,Der,Zauberer,irritiert,den,Gaffer,mit,den,wundersamen,Tricks,VA,0
2,39,239,Der,Hofnarr,erheitert,den,Kaiser,mit,der,bunten,Perücke,VA,0
2,39,239,Der,Kaiser,erheitert,den,Hofnarr,mit,der,bunten,Perücke,NA,0
2,40,240,Die,Königin,überragt,die,Sklavin,mit,der,goldenen,Krone,NA,0
2,40,240,Die,Sklavin,überragt,die,Königin,mit,der,goldenen,Krone,VA,0
2,41,241,Die,Gemeinde,unterstützt,die,Präsidentin,mit,den,zahlreichen,Stimmen,NA,0
2,41,241,Die,Präsidentin,unterstützt,die,Gemeinde,mit,den,zahlreichen,Stimmen,VA,0
2,42,242,Die,Greisin,lauscht,der,Erzählerin,mit,dem,piepsenden,Hörgerät,VA,0
2,42,242,Die,Erzählerin,lauscht,der,Greisin,mit,dem,piepsenden,Hörgerät,NA,0
2,43,243,Der,Vogelstrauß,überholt,den,Pinguin,mit,den,langen,Beinen,VA,0
